predecessor,successor,predecessor_last_month,gap_months_to_2034,shared_partner_count,shared_partner_sample,predecessor_pattern,successor_pattern
Ancla del Este SE,Line S.A. de C.V.,2032-06,19,42,3 Oceanography ОАО Marine life;Aqua Anchor Plc Logistics;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation,stable,stable
Bujagali Falls  Seagrass S.p.A. Freight ,Fresh Limited Liability Company,2032-01,24,42,-3541;Adriatic Mackerel Ges.m.b.H. Family;Blue Horizon GmbH & Co. KG Investment;Caracola de Coral Shipyard Sp Investment,stable,stable
Náutica del Este ОАО,BlueWaterBites GmbH & Co. KG Export,2031-12,25,42,Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export;AquaFare GmbH & Co. KG,stable,stable
Orange River Mouth   &,French Crab Pic Marine conservation,2031-11,26,42,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Aqua Aura SE Marine life;Arunachal Pradesh s Brine,periodic,stable
Portuguese Cuttle GmbH Freight ,Okavango River  NV Marine life,2031-01,36,42,3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation,stable,general
Konkan Coast  SE Marine biology,Playa de la Luna Incorporated,2030-09,40,42,AquaBite Pelican Incorporated Transport;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company;Baltic Catch Jetsam Pic Brothers,stable,stable
Konkan Coast  SE Marine biology,SilverStream CJSC Marine conservation,2030-09,40,42,Angrapa GmbH & Co. KG Overseas;AquaBite Pelican Incorporated Transport;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
Konkan Coast  SE Marine biology,Tamil  Nautilus CJSC Consulting,2030-09,40,42,AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Arunachal Pradesh s S.p.A.;Barents Sea  Co Import,stable,stable
Seashell s  SRL Consulting,Oceanic Oracle GmbH & Co. KG,2029-12,49,42,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Baltic Catch Ltd Coral Reef;Black Sea Tuna Sagl,stable,stable
Seashell s  SRL Consulting,Zambezi Valley  Marine biology,2029-12,49,42,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Gulf of Guinea   Corporation,Uttar Pradesh s CJSC,2032-10,15,41,Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Barco de Plata Corp;Beachcomber's Bounty Plc Marine life,general,stable
Saltwater Sanctuary Company Cargo,Caracola del Este Corporation Express,2032-03,22,41,-41;-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings,stable,stable
Saltwater Sanctuary Company Cargo,Maharashtra ers Incorporated Express,2032-03,22,41,-41;-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings,stable,stable
Náutica del Este ОАО,Maharashtra ers Incorporated Express,2031-12,25,41,Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export;Arena Azul SE Nautical,stable,stable
Portuguese Cuttle GmbH Freight ,Bay of Bengal's A/S,2031-01,36,41,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Company Distribution;Ancla de Oro Kga Import,stable,stable
Portuguese Cuttle GmbH Freight ,Barents Sea  GmbH Cargo ,2031-01,36,41,-54;3 Seabreeze Corporation Marine ecology;Adriatic Tuna Pic Express;Angrapa Ltd. Liability Co Export,stable,stable
Portuguese Cuttle GmbH Freight ,TideTurner Tidepool Co Enterprises,2031-01,36,41,-47;3 Oceanography ОАО Marine life;Angrapa Ltd. Liability Co Export;Arunachal Pradesh s Brine,stable,stable
Konkan Coast  SE Marine biology,Khundu Whale AG Cargo,2030-09,40,41,Ancla del Mar Inc;Aqua Azul Trawler GmbH Logistics;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Konkan Coast  SE Marine biology,Angrapa Ltd. Liability Co Export,2030-09,40,41,Ancla del Mar Inc;AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Lake Tana  N.V. Enterprises,2029-12,49,41,-54;Arunachal Pradesh s Brine;Caracola Azul Ltd. Corporation;Caracola Azul Oyj &,stable,stable
Seashell s  SRL Consulting,Sea Breezes N.V. Canal,2029-12,49,41,-1791;Adriatic Tuna Seabass BV Transit;AquaFare S.A. de C.V. Marine;Arunachal Pradesh s Brine,stable,stable
Gulf of Guinea   Corporation,Náutica del Norte Kga Holdings,2032-10,15,40,Arunachal Pradesh s Brine;Barco de Plata Corp;Black Sea Tuna Snapper;Briny Import Marine sanctuary,general,stable
Gulf of Guinea   Corporation,Coastal Cruisers Pic Shipping,2032-10,15,40,Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship;Barco de Plata Corp,general,stable
Gulf of Guinea   Corporation,Tide Turners Ltd Transport,2032-10,15,40,Adriatic Tuna Seabass BV Transit;Atlántico Sur Cargo ship;Barco de Plata Corp;Black Sea Tuna Snapper,general,stable
Océano de Coral N.V.,River Gambia  Brine Pic Express,2032-10,15,40,Angrapa Ltd. Liability Co Export;AquaFare S.A. de C.V. Marine;BlueWaterBites GmbH & Co. KG Export;Caracola Azul Ltd. Corporation,stable,stable
Océano de Coral N.V.,Ola de la Costa N.V.,2032-10,15,40,-2053;-672;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export,stable,stable
Ancla del Este SE,Water Wonders Tidepool Ltd Holdings,2032-06,19,40,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Andhra Pradesh  Ltd. Liability Co;Aqua Anchor Plc Logistics,stable,stable
Saltwater Sanctuary Company Cargo,Uttar Pradesh s AG,2032-03,22,40,3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Belgian Shrimps - Company Brothers;Black Sea Tuna Sagl,stable,stable
Orange River Mouth   &,suō yú Incorporated Brothers,2031-11,26,40,Aqua Aura SE Marine life;Arunachal Pradesh s Brine;Black Sea Tuna Sagl;Black Sea Tuna Snapper,periodic,stable
Orange River Mouth   &,Sailors and Surfers Incorporated Enterprises,2031-11,26,40,Aqua Aura SE Marine life;Arunachal Pradesh s Brine;Barco de Plata Corp;Black Sea Tuna Sagl,periodic,stable
The Sea Lion Captain,Barents Sea Cod CJSC Export,2031-09,28,40,3 Trawler Corp Distribution;Ancla de Oro N.V.;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,stable,stable
Portuguese Cuttle GmbH Freight ,Mar de Cielo S.A. de C.V. Manatee,2031-01,36,40,-54;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Arunachal Pradesh s Brine,stable,stable
Konkan Coast  SE Marine biology,Caracola Azul Ltd. Corporation,2030-09,40,40,AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Barents Sea Cod CJSC Export,stable,stable
Konkan Coast  SE Marine biology,Lake Turkana  Charter Boat  NV Marine,2030-09,40,40,Angrapa GmbH & Co. KG Overseas;Aqua Azul Trawler GmbH Logistics;AquaBite Pelican Incorporated Transport;Arena del Sol Tide SE and Son's,stable,stable
Seashell s  SRL Consulting,Line S.A. de C.V.,2029-12,49,40,3 Oceanography ОАО Marine life;AquaFare S.A. de C.V. Marine;Arunachal Pradesh s Brine;Baltic Catch Ltd Coral Reef,stable,stable
Seashell s  SRL Consulting,Caracola del Sol Services,2029-12,49,40,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Arunachal Pradesh s Ltd. Corporation Coast;Bahía del Sol Kga Consulting,stable,stable
Gulf of Guinea   Corporation,Line S.A. de C.V.,2032-10,15,39,Arawak Ltd. Liability Co Transport;Arunachal Pradesh s Brine;Barco de Plata Corp;Black Sea Tuna Snapper,general,stable
Gulf of Guinea   Corporation,Sailors and Surfers Incorporated Enterprises,2032-10,15,39,9 Seaport SE Carriers;Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arawak Ltd. Liability Co Transport,general,stable
Océano de Coral N.V.,Uttar Pradesh s CJSC,2032-10,15,39,-1717;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Barents Sea Cod CJSC Export,stable,stable
Océano de Coral N.V.,hǎi dǎn Corporation Wharf,2032-10,15,39,Arena del Sol Corporation;Barents Sea Cod CJSC Export;Barents Sea Shrimp Tugboat AB Enterprises;Bay of Bengal's SE,stable,stable
Océano de Coral N.V.,Aqua Aura SE Marine life,2032-10,15,39,-116;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Angrapa Ltd. Liability Co Export,stable,stable
Ancla del Este SE,Ola de la Costa N.V.,2032-06,19,39,3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation,stable,stable
Náutica del Este ОАО,Coastal Cruisers GmbH Logistics,2031-12,25,39,Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export;AquaFare GmbH & Co. KG,stable,stable
Orange River Mouth   &,Mar de Cielo S.A. de C.V. Manatee,2031-11,26,39,1 Ltd. Corporation Transport;3 Trawler Corp Distribution;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,periodic,stable
Orange River Mouth   &,Surf and Sea Seal Ltd Forwading,2031-11,26,39,3 Oceanography ОАО Marine life;Adriatic Tuna Company Distribution;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,periodic,stable
Portuguese Cuttle GmbH Freight ,Kong zhong diao yu  Ges.m.b.H.,2031-01,36,39,-47;Andhra Pradesh   Limited Liability Company;Arena del Sol Incorporated;Bahía del Este Pic,stable,stable
Portuguese Cuttle GmbH Freight ,xiǎo lóng xiā LC,2031-01,36,39,3 Oceanography ОАО Marine life;Ancla de Oro Kga Import;Angrapa Ltd. Liability Co Export;Belgian Scallop S.A. de C.V.,stable,stable
Portuguese Cuttle GmbH Freight ,Selous Game Reserve  S.A. de C.V.,2031-01,36,39,-6;Andhra Pradesh   Limited Liability Company;Angrapa Ltd. Liability Co Export;Aquatic Adventures Ltd. Liability Co,stable,stable
Konkan Coast  SE Marine biology,Mandalore S.A. de C.V. Logistics,2030-09,40,39,Ancla del Mar Inc;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Barents Sea  Co Import,stable,stable
Konkan Coast  SE Marine biology,Náutica del Sol Corporation,2030-09,40,39,AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Baltic Catch Jetsam Pic Brothers;Barents Sea Cod CJSC Export,stable,stable
Seashell s  SRL Consulting,suō yú Incorporated Brothers,2029-12,49,39,-1791;-54;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Bu yu wang Corporation Marine conservation,2029-12,49,39,Bahía del Sol Kga Consulting;Black Sea Tuna Sagl;Caracola Azul Ltd. Corporation;Caracola Azul Oyj &,stable,stable
Seashell s  SRL Consulting,Tide Turners Ltd Transport,2029-12,49,39,3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Baltic Catch Ltd Coral Reef;Benguela Current   GmbH Carriers,stable,stable
Gulf of Guinea   Corporation,Oceanic Oracle GmbH & Co. KG,2032-10,15,38,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Bay of Bengal's Surfboard;Black Sea Tuna Snapper,general,stable
Gulf of Guinea   Corporation,xiǎo lóng xiā LC,2032-10,15,38,Adriatic Tuna Seabass BV Transit;Barco de Plata Corp;Black Sea Tuna Snapper;Caracola Azul Oyj &,general,stable
Gulf of Guinea   Corporation,Pao gan SE Seal,2032-10,15,38,Adriatic Tuna Seabass BV Transit;Bahía del Este Ges.m.b.H.;Barco de Plata Corp;Black Sea Tuna Snapper,general,stable
Océano de Coral N.V.,Mar del Oeste Transport,2032-10,15,38,-481;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Bay of Bengal's SE,stable,stable
Eukrante & SE Cargo,Caracola del Este Corporation Express,2032-09,16,38,Arunachal  Dashi Inc Worldwide;Bahía Azul Limited Liability Company;Baltic Catch Ltd Coral Reef;Belgian Shrimps - Company Brothers,stable,stable
Ancla del Este SE,Aqua Aura SE Marine life,2032-06,19,38,3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co;Arunachal Pradesh s Brine,stable,stable
Ancla del Este SE,Uttar Pradesh s AG,2032-06,19,38,3 Oceanography ОАО Marine life;Aqua Anchor Plc Logistics;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation,stable,stable
Saltwater Sanctuary Company Cargo,Water Wonders Tidepool Ltd Holdings,2032-03,22,38,-41;-54;3 Oceanography ОАО Marine life;Andhra Pradesh  Ltd. Liability Co,stable,stable
Saltwater Sanctuary Company Cargo,Ola de la Costa N.V.,2032-03,22,38,-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Arunachal Pradesh s Brine,stable,stable
Náutica del Este ОАО,Ola de la Costa N.V.,2031-12,25,38,-2053;Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export,stable,stable
Náutica del Este ОАО,Uttar Pradesh s AG,2031-12,25,38,Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export;Arunachal  Dashi Inc Worldwide,stable,stable
Orange River Mouth   &,Maharashtra   Limited Liability Company,2031-11,26,38,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Aqua Aura SE Marine life;Arunachal Pradesh s Brine,periodic,stable
Orange River Mouth   &,Greek Sea Bass Co,2031-11,26,38,3 Oceanography ОАО Marine life;Barco de Plata Corp;Black Sea Tuna Snapper;Bujagali Falls  Pic Family,periodic,stable
Orange River Mouth   &,bái suō wěn lú AS,2031-11,26,38,3 Trawler Corp Distribution;Aqua Aura SE Marine life;Barco de Plata Corp;Bay of Bengal's Surfboard,periodic,stable
Barco de Plata GmbH & Co. KG,Fresh Limited Liability Company,2031-09,28,38,-54;Brisa del Mar Company Worldwide;Caracola del Sol Services;Coastal Castaway Coast Corporation Worldwide,stable,stable
Náutica del Sol Brothers,Fresh Limited Liability Company,2031-09,28,38,-4;Agua Oceanfront Limited Liability Company Transportation;Belgian Scallop S.A. de C.V.;Bujagali Falls  Ltd. Corporation,stable,stable
Portuguese Cuttle GmbH Freight ,Dutch  Ltd. Liability Co Consultants,2031-01,36,38,-6;3 Seabreeze Corporation Marine ecology;Andhra Pradesh   Limited Liability Company;Aquatic Adventures Ltd. Liability Co,stable,stable
Portuguese Cuttle GmbH Freight ,Bu yu wang Corporation Marine conservation,2031-01,36,38,Belgian Scallop S.A. de C.V.;Black Sea Tuna Sagl;Black Sea Tuna Snapper;Caracola Azul Ltd. Corporation,stable,stable
Konkan Coast  SE Marine biology,Playa de Arena Submarine S.A. de C.V. Marine,2030-09,40,38,Ancla del Mar Inc;AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Okavango River  NV Marine life,2029-12,49,38,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Baltic Catch Ltd Coral Reef;Black Sea Tuna Sagl,stable,general
Seashell s  SRL Consulting,Water Wonders Tidepool Ltd Holdings,2029-12,49,38,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Barents Sea  GmbH Cargo ,2029-12,49,38,-1457;-2682;-54;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Mar del Oeste Transport,2029-12,49,38,Black Sea Tuna Sagl;Caracola Azul Ltd. Corporation;Caracola Azul Oyj &;Caracola del Sol Services,stable,stable
-1516,hǎi dǎn Corporation Wharf,2029-05,56,38,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
Gulf of Guinea   Corporation,French Crab Pic Marine conservation,2032-10,15,37,Arunachal Pradesh s Brine;Barco de Plata Corp;Black Sea Tuna Snapper;Caracola Azul Oyj &,general,stable
Gulf of Guinea   Corporation,Perla del Mar CJSC,2032-10,15,37,Adriatic Tuna Seabass BV Transit;Arawak Ltd. Liability Co Transport;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Gulf of Guinea   Corporation,Zambezi Valley  Marine biology,2032-10,15,37,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Bay of Bengal's Surfboard;Black Sea Tuna Snapper,general,stable
Gulf of Guinea   Corporation,Lake Tana  N.V. Enterprises,2032-10,15,37,Arunachal Pradesh s Brine;Black Sea Tuna Snapper;Caracola Azul Oyj &;Caracola del Sol Services,general,stable
Océano de Coral N.V.,Coastal Cruisers GmbH Logistics,2032-10,15,37,3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Angrapa Ltd. Liability Co Export;Bay of Bengal's SE,stable,stable
Océano de Coral N.V.,Madagascar   Ltd. Corporation Express,2032-10,15,37,3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Bahía Dorada S.A. de C.V.;Bay of Bengal's SE,stable,stable
Ancla del Este SE,Coastal Cruisers GmbH Logistics,2032-06,19,37,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Andhra Pradesh  Ltd. Liability Co;Arunachal Pradesh s Brine,stable,stable
Ancla del Este SE,Oceanic Oracle GmbH & Co. KG,2032-06,19,37,Aqua Anchor Plc Logistics;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation;Baltic Catch Ltd Coral Reef,stable,stable
Saltwater Sanctuary Company Cargo,River Gambia  Brine Pic Express,2032-03,22,37,-41;-54;3 Oceanography ОАО Marine life;Andhra Pradesh  Ltd. Liability Co,stable,stable
Saltwater Sanctuary Company Cargo,Aqua Aura SE Marine life,2032-03,22,37,-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co,stable,stable
FinAddict Limited Liability Company,Fresh Limited Liability Company,2032-02,23,37,Arena del Sol OJSC;Baltic Catch Shipyard Inc Distribution;Belgian Scallop Trawler AB Logistics;Belgian Shrimps Ocean Corp Holdings,stable,stable
Náutica del Este ОАО,Jammu Ltd. Liability Co,2031-12,25,37,Adriatic Tuna Seabass BV Transit;Angrapa Ltd. Liability Co Export;Arunachal  Dashi Inc Worldwide;Atlántico Sur Cargo ship,stable,stable
Ola del Mar NV,Caracola del Este Corporation Express,2031-11,26,37,Adriatic Catch Ges.m.b.H. Marine biology;Ancla del Este Ges.m.b.H.;Ancla del Este Merchants;Arunachal Pradesh s Oceanography,stable,stable
Orange River Mouth   &,Chuan gou  Ltd Marine ecology,2031-11,26,37,3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL;Barco de Plata Corp,periodic,stable
Orange River Mouth   &,Perla del Mar CJSC,2031-11,26,37,Arunachal Pradesh s Brine;Arunachal Pradesh s SRL;Black Sea Tuna Sagl;Black Sea Tuna Snapper,periodic,stable
Orange River Mouth   &,Beach Breakers Ltd Import,2031-11,26,37,3 Trawler Corp Distribution;Aqua Aura SE Marine life;Arunachal Pradesh s SRL;Black Sea Tuna Sagl,periodic,stable
Portuguese Cuttle GmbH Freight ,Mar del Este Brine SRL Investment,2031-01,36,37,-54;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;AtlanticAppetite Oyster  Ltd. Corporation Investment,stable,stable
Portuguese Cuttle GmbH Freight ,Saltwater Solitude Marine biology,2031-01,36,37,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Assam  Market Cargo ship Company Marine conservation,stable,stable
Konkan Coast  SE Marine biology,Zambezi Gorge  N.V. Transport,2030-09,40,37,Aqua Azul Trawler GmbH Logistics;Arena del Sol Tide SE and Son's;Bay of Bengal's SE;Belgian Cod Laksa AB Forwading,stable,stable
Lake Mweru  Limited Liability Company,Zambezi Gorge  N.V. Transport,2029-11,50,37,3 Oceanography ОАО Marine life;Aqua Aura SE Marine life;AquaDelight Inc and Son's;Arunachal Pradesh s Brine,periodic,stable
-1516,Caracola del Sol Services,2029-05,56,37,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
